Episode 1 Step 25: Training Loss nan, Return 9.0
Episode 2 Step 18: Training Loss nan, Return 9.0
Episode 3 Step 30: Training Loss nan, Return 9.0
Episode 4 Step 38: Training Loss nan, Return 9.0
Episode 5 Step 11: Training Loss nan, Return 10.0
Episode 6 Step 14: Training Loss 1.1110485792160034, Return 10.0
Episode 7 Step 12: Training Loss 0.9928634762763977, Return 10.0
Episode 8 Step 35: Training Loss 0.7652080655097961, Return 10.0
Episode 9 Step 12: Training Loss 0.5604625344276428, Return 10.0
Episode 10 Step 32: Training Loss 0.38879460096359253, Return 9.0
Episode 11 Step 13: Training Loss 0.25158584117889404, Return 8.0
Episode 12 Step 18: Training Loss 0.18104064464569092, Return 8.0
Episode 13 Step 12: Training Loss 0.1257781982421875, Return 9.0
Episode 14 Step 18: Training Loss 0.09105983376502991, Return 9.0
Episode 15 Step 11: Training Loss 0.06598686426877975, Return 9.0
Episode 16 Step 33: Training Loss 0.04898254945874214, Return 11.0
Episode 17 Step 14: Training Loss 0.03287626430392265, Return 13.0
Episode 18 Step 13: Training Loss 0.026642698794603348, Return 12.0
Episode 19 Step 11: Training Loss 0.02404477447271347, Return 9.0
Episode 20 Step 15: Training Loss 0.022644072771072388, Return 11.0
Episode 21 Step 23: Training Loss 0.018493739888072014, Return 10.0
Episode 22 Step 34: Training Loss 0.014131852425634861, Return 13.0
Episode 23 Step 24: Training Loss 0.012541131116449833, Return 13.0
Episode 24 Step 20: Training Loss 0.010296533815562725, Return 13.0
Episode 25 Step 14: Training Loss 0.008824174292385578, Return 10.0
Episode 26 Step 17: Training Loss 0.008097375743091106, Return 10.0
Episode 27 Step 10: Training Loss 0.006622374057769775, Return 10.0
Episode 28 Step 17: Training Loss 0.007672587875276804, Return 9.0
Episode 29 Step 10: Training Loss 0.0062210760079324245, Return 13.0
Episode 30 Step 30: Training Loss 0.008188602514564991, Return 13.0
Episode 31 Step 10: Training Loss 0.006084905005991459, Return 10.0
Episode 32 Step 19: Training Loss 0.006070063449442387, Return 12.0
Episode 33 Step 9: Training Loss 0.006422293838113546, Return 12.0
Episode 34 Step 18: Training Loss 0.006191301625221968, Return 12.0
Episode 35 Step 10: Training Loss 0.005735369399189949, Return 10.0
Episode 36 Step 14: Training Loss 0.006918252445757389, Return 10.0
Episode 37 Step 16: Training Loss 0.006411841604858637, Return 12.0
Episode 38 Step 15: Training Loss 0.00649622268974781, Return 10.0
Episode 39 Step 14: Training Loss 0.007377577479928732, Return 12.0
Episode 40 Step 28: Training Loss 0.007688183803111315, Return 9.0
Episode 41 Step 21: Training Loss 0.006885021924972534, Return 11.0
Episode 42 Step 15: Training Loss 0.00846574641764164, Return 9.0
Episode 43 Step 12: Training Loss 0.008585414849221706, Return 10.0
Episode 44 Step 15: Training Loss 0.009945999830961227, Return 10.0
Episode 45 Step 15: Training Loss 0.008450359106063843, Return 12.0
Episode 46 Step 23: Training Loss 0.008686321787536144, Return 12.0
Episode 47 Step 10: Training Loss 0.009515281766653061, Return 10.0
Episode 48 Step 10: Training Loss 0.011010756716132164, Return 11.0
Episode 49 Step 10: Training Loss 0.010526048019528389, Return 9.0
Episode 50 Step 9: Training Loss 0.009757418185472488, Return 9.0
Episode 51 Step 10: Training Loss 0.010975392535328865, Return 12.0
Episode 52 Step 15: Training Loss 0.012411796487867832, Return 11.0
Episode 53 Step 14: Training Loss 0.012650026939809322, Return 9.0
Episode 54 Step 21: Training Loss 0.012090105563402176, Return 10.0
Episode 55 Step 11: Training Loss 0.014901497401297092, Return 9.0
Episode 56 Step 20: Training Loss 0.014214763417840004, Return 9.0
Episode 57 Step 14: Training Loss 0.014144421555101871, Return 12.0
